row_index,pairId,entryId,artefact,table_id,summary_idx,question_idx,question_text,rendered_path,variant_a,variant_b
"20","datahub_2_s1_q6_gen2_sug1.png__gen2_sug4.png","datahub_2_s1_q6_gen2_sug1.png__gen2_sug4.png","datahub","2","1","6","How does the long flat pricing era around the mid‑1800s differ from the volatility seen after the 1970s?","charts/datahub/2/sum1_ques6","gen2_sug1.png","gen2_sug4.png"
"21","datahub_3_s1_q1_gen1_sug1.png__gen2_sug2.png","datahub_3_s1_q1_gen1_sug1.png__gen2_sug2.png","datahub","3","1","1","Which five countries recorded the highest total pharmaceutical spending in 2022?","charts/datahub/3/sum1_ques1","gen1_sug1.png","gen2_sug2.png"
"22","datahub_3_s1_q4_gen1_sug2.png__gen2_sug2.png","datahub_3_s1_q4_gen1_sug2.png__gen2_sug2.png","datahub","3","1","4","How does total pharmaceutical spending in Canada compare to Germany from 1980 through 2020?","charts/datahub/3/sum1_ques4","gen1_sug2.png","gen2_sug2.png"
"23","datahub_3_s3_q8_gen2_sug1.png__gen2_sug4.png","datahub_3_s3_q8_gen2_sug1.png__gen2_sug4.png","datahub","3","3","8","How does per person pharmaceutical spending relate to the share of health budgets spent on drugs across countries in the year 2019?","charts/datahub/3/sum3_ques8","gen2_sug1.png","gen2_sug4.png"
"24","datahub_4_s1_q1_gen1_sug1.png__gen1_sug6.png","datahub_4_s1_q1_gen1_sug1.png__gen1_sug6.png","datahub","4","1","1","Which countries spent the most on applied research in 2015?","charts/datahub/4/sum1_ques1","gen1_sug1.png","gen1_sug6.png"
"25","datahub_4_s1_q2_gen1_sug3.png__gen1_sug1.png","datahub_4_s1_q2_gen1_sug3.png__gen1_sug1.png","datahub","4","1","2","How has applied research spending changed over time in Australia from 1996 to 2015?","charts/datahub/4/sum1_ques2","gen1_sug3.png","gen1_sug1.png"
"26","datahub_4_s2_q6_gen1_sug4.png__gen2_sug2.png","datahub_4_s2_q6_gen1_sug4.png__gen2_sug2.png","datahub","4","2","6","Which countries show the sharpest increases in applied research spending between 2005 and 2015?","charts/datahub/4/sum2_ques6","gen1_sug4.png","gen2_sug2.png"
"27","datahub_5_s1_q4_gen1_sug1.png__gen2_sug1.png","datahub_5_s1_q4_gen1_sug1.png__gen2_sug1.png","datahub","5","1","4","Are there metro areas where unhealthy air days noticeably outnumber clean days, such as in Bakersfield or Stockton-Lodi?","charts/datahub/5/sum1_ques4","gen1_sug1.png","gen2_sug1.png"
"28","datahub_5_s1_q8_gen2_sug1.png__gen1_sug3.png","datahub_5_s1_q8_gen2_sug1.png__gen1_sug3.png","datahub","5","1","8","Which areas show unusually low numbers of clean air days despite having more than 360 days of air quality data available?","charts/datahub/5/sum1_ques8","gen2_sug1.png","gen1_sug3.png"
"29","datahub_5_s2_q1_gen1_sug4.png__gen1_sug3.png","datahub_5_s2_q1_gen1_sug4.png__gen1_sug3.png","datahub","5","2","1","Which five California regions show the largest gap between their worst pollution day and their typical yearly air quality, such as places reaching values above 400 versus medians below 40?","charts/datahub/5/sum2_ques1","gen1_sug4.png","gen1_sug3.png"
"30","datahub_5_s2_q1_gen1_sug4.png__gen2_sug1.png","datahub_5_s2_q1_gen1_sug4.png__gen2_sug1.png","datahub","5","2","1","Which five California regions show the largest gap between their worst pollution day and their typical yearly air quality, such as places reaching values above 400 versus medians below 40?","charts/datahub/5/sum2_ques1","gen1_sug4.png","gen2_sug1.png"
"31","datahub_5_s2_q7_gen1_sug1.png__gen2_sug4.png","datahub_5_s2_q7_gen1_sug1.png__gen2_sug4.png","datahub","5","2","7","How are California regions distributed when comparing their median pollution levels against their maximum recorded pollution values?","charts/datahub/5/sum2_ques7","gen1_sug1.png","gen2_sug4.png"
"32","datahub_5_s2_q8_gen2_sug1.png__gen2_sug2.png","datahub_5_s2_q8_gen2_sug1.png__gen2_sug2.png","datahub","5","2","8","Which regions stand out as outliers with unusually high maximum pollution values compared to most regions clustered below 200?","charts/datahub/5/sum2_ques8","gen2_sug1.png","gen2_sug2.png"
"33","datahub_5_s3_q6_gen1_sug2.png__gen2_sug1.png","datahub_5_s3_q6_gen1_sug2.png__gen2_sug1.png","datahub","5","3","6","How are ozone exceedance days distributed across all metros, from locations with fewer than 100 days to those exceeding 350 days?","charts/datahub/5/sum3_ques6","gen1_sug2.png","gen2_sug1.png"
"34","datahub_6_s1_q2_gen1_sug2.png__gen2_sug1.png","datahub_6_s1_q2_gen1_sug2.png__gen2_sug1.png","datahub","6","1","2","Which counties had the most days classified as very unhealthy or hazardous air quality during 2025?","charts/datahub/6/sum1_ques2","gen1_sug2.png","gen2_sug1.png"
"35","datahub_6_s1_q8_gen1_sug4.png__gen2_sug1.png","datahub_6_s1_q8_gen1_sug4.png__gen2_sug1.png","datahub","6","1","8","Which counties experienced more unhealthy days than good days during the 2025 reporting period?","charts/datahub/6/sum1_ques8","gen1_sug4.png","gen2_sug1.png"
"36","datahub_6_s3_q7_gen2_sug3.png__gen2_sug1.png","datahub_6_s3_q7_gen2_sug3.png__gen2_sug1.png","datahub","6","3","7","What is the relationship between fine particulate exceedance days and ozone exceedance days across all counties in 2025?","charts/datahub/6/sum3_ques7","gen2_sug3.png","gen2_sug1.png"
"37","datahub_6_s4_q3_gen1_sug1.png__gen2_sug3.png","datahub_6_s4_q3_gen1_sug1.png__gen2_sug3.png","datahub","6","4","3","How does the typical air quality level compare across states with very high ozone pollution days above 270?","charts/datahub/6/sum4_ques3","gen1_sug1.png","gen2_sug3.png"
"38","datahub_6_s4_q7_gen1_sug4.png__gen1_sug3.png","datahub_6_s4_q7_gen1_sug4.png__gen1_sug3.png","datahub","6","4","7","How does the number of days affected by ozone pollution differ between states with low versus high typical air quality levels?","charts/datahub/6/sum4_ques7","gen1_sug4.png","gen1_sug3.png"
"39","datahub_6_s4_q7_gen1_sug1.png__gen1_sug3.png","datahub_6_s4_q7_gen1_sug1.png__gen1_sug3.png","datahub","6","4","7","How does the number of days affected by ozone pollution differ between states with low versus high typical air quality levels?","charts/datahub/6/sum4_ques7","gen1_sug1.png","gen1_sug3.png"
"40","datahub_7_s2_q2_gen1_sug4.png__gen1_sug2.png","datahub_7_s2_q2_gen1_sug4.png__gen1_sug2.png","datahub","7","2","2","How does the number of goals scored relate to shots on target for away teams across the season?","charts/datahub/7/sum2_ques2","gen1_sug4.png","gen1_sug2.png"
"41","datahub_7_s2_q5_gen1_sug1.png__gen1_sug2.png","datahub_7_s2_q5_gen1_sug1.png__gen1_sug2.png","datahub","7","2","5","Which teams converted the highest percentage of their shots on target into goals when playing away from home?","charts/datahub/7/sum2_ques5","gen1_sug1.png","gen1_sug2.png"
"42","datahub_7_s2_q5_gen1_sug1.png__gen2_sug2.png","datahub_7_s2_q5_gen1_sug1.png__gen2_sug2.png","datahub","7","2","5","Which teams converted the highest percentage of their shots on target into goals when playing away from home?","charts/datahub/7/sum2_ques5","gen1_sug1.png","gen2_sug2.png"
"43","datahub_7_s2_q6_gen2_sug1.png__gen1_sug3.png","datahub_7_s2_q6_gen2_sug1.png__gen1_sug3.png","datahub","7","2","6","How does the distribution of goals per match differ between games with fewer than 10 total shots on target and those with 10 or more?","charts/datahub/7/sum2_ques6","gen2_sug1.png","gen1_sug3.png"
"44","datahub_7_s3_q1_gen2_sug3.png__gen2_sug1.png","datahub_7_s3_q1_gen2_sug3.png__gen2_sug1.png","datahub","7","3","1","Which five home teams average the most fouls committed per match over the 2025–26 season?","charts/datahub/7/sum3_ques1","gen2_sug3.png","gen2_sug1.png"
"45","datahub_7_s3_q8_gen1_sug2.png__gen1_sug1.png","datahub_7_s3_q8_gen1_sug2.png__gen1_sug1.png","datahub","7","3","8","How has the average number of cards per match changed from August 2025 to May 2026?","charts/datahub/7/sum3_ques8","gen1_sug2.png","gen1_sug1.png"
"46","datahub_7_s4_q1_gen2_sug1.png__gen2_sug2.png","datahub_7_s4_q1_gen2_sug1.png__gen2_sug2.png","datahub","7","4","1","How has the share of matches where the home side was leading at halftime but failed to win changed from August 2025 to May 2026?","charts/datahub/7/sum4_ques1","gen2_sug1.png","gen2_sug2.png"
"47","datahub_8_s1_q1_gen1_sug4.png__gen2_sug1.png","datahub_8_s1_q1_gen1_sug4.png__gen2_sug1.png","datahub","8","1","1","Which home teams most often converted a halftime lead into a full-time win?","charts/datahub/8/sum1_ques1","gen1_sug4.png","gen2_sug1.png"
"48","datahub_9_s1_q1_gen1_sug4.png__gen1_sug1.png","datahub_9_s1_q1_gen1_sug4.png__gen1_sug1.png","datahub","9","1","1","How has the typical training computation for AI models published between 1959 and 2025 changed over time?","charts/datahub/9/sum1_ques1","gen1_sug4.png","gen1_sug1.png"
"49","datahub_9_s1_q2_gen1_sug2.png__gen1_sug1.png","datahub_9_s1_q2_gen1_sug2.png__gen1_sug1.png","datahub","9","1","2","Which five AI models released after 2020 have the highest inflation-adjusted training costs?","charts/datahub/9/sum1_ques2","gen1_sug2.png","gen1_sug1.png"
"50","datahub_10_s1_q1_gen2_sug4.png__gen1_sug3.png","datahub_10_s1_q1_gen2_sug4.png__gen1_sug3.png","datahub","10","1","1","How has the typical model size changed from the early 2010s to releases in 2025 based on reported publication dates?","charts/datahub/10/sum1_ques1","gen2_sug4.png","gen1_sug3.png"
"51","datahub_10_s1_q8_gen2_sug1.png__gen2_sug2.png","datahub_10_s1_q8_gen2_sug1.png__gen2_sug2.png","datahub","10","1","8","Between language-focused and vision-focused models, which group shows higher typical training compute per release year?","charts/datahub/10/sum1_ques8","gen2_sug1.png","gen2_sug2.png"
"52","tableau_3_s3_q5_gen2_sug4.png__gen2_sug2.png","tableau_3_s3_q5_gen2_sug4.png__gen2_sug2.png","tableau","3","3","5","How does the age of the No. 1 player in the 1990s compare to the 2010s?","charts/tableau/3/sum3_ques5","gen2_sug4.png","gen2_sug2.png"
"53","tableau_3_s3_q5_gen1_sug1.png__gen2_sug2.png","tableau_3_s3_q5_gen1_sug1.png__gen2_sug2.png","tableau","3","3","5","How does the age of the No. 1 player in the 1990s compare to the 2010s?","charts/tableau/3/sum3_ques5","gen1_sug1.png","gen2_sug2.png"
"54","tableau_3_s2_q1_gen1_sug1.png__gen1_sug4.png","tableau_3_s2_q1_gen1_sug1.png__gen1_sug4.png","tableau","3","2","1","Which 10 players spent the most weeks as world No. 1?","charts/tableau/3/sum2_ques1","gen1_sug1.png","gen1_sug4.png"
"55","tableau_3_s1_q1_gen1_sug3.png__gen2_sug1.png","tableau_3_s1_q1_gen1_sug3.png__gen2_sug1.png","tableau","3","1","1","Who are the top 5 players by total cumulative weeks at No. 1?","charts/tableau/3/sum1_ques1","gen1_sug3.png","gen2_sug1.png"
"56","tableau_3_s1_q1_gen1_sug3.png__gen2_sug3.png","tableau_3_s1_q1_gen1_sug3.png__gen2_sug3.png","tableau","3","1","1","Who are the top 5 players by total cumulative weeks at No. 1?","charts/tableau/3/sum1_ques1","gen1_sug3.png","gen2_sug3.png"
"57","tableau_3_s4_q2_gen2_sug1.png__gen1_sug2.png","tableau_3_s4_q2_gen2_sug1.png__gen1_sug2.png","tableau","3","4","2","Which decade produced the most No. 1 players by birth year?","charts/tableau/3/sum4_ques2","gen2_sug1.png","gen1_sug2.png"
"58","tableau_3_s1_q6_gen1_sug1.png__gen1_sug2.png","tableau_3_s1_q6_gen1_sug1.png__gen1_sug2.png","tableau","3","1","6","How does Federer's cumulative weeks compare to Djokovic and Nadal?","charts/tableau/3/sum1_ques6","gen1_sug1.png","gen1_sug2.png"
"59","tableau_3_s1_q6_gen2_sug1.png__gen2_sug4.png","tableau_3_s1_q6_gen2_sug1.png__gen2_sug4.png","tableau","3","1","6","How does Federer's cumulative weeks compare to Djokovic and Nadal?","charts/tableau/3/sum1_ques6","gen2_sug1.png","gen2_sug4.png"
"60","tableau_6_s4_q3_gen1_sug2.png__gen2_sug7.png","tableau_6_s4_q3_gen1_sug2.png__gen2_sug7.png","tableau","6","4","3","Which industries are most represented among companies with the longest tenure on the Inc. 5000 list?","charts/tableau/6/sum4_ques3","gen1_sug2.png","gen2_sug7.png"
"61","tableau_6_s3_q2_gen1_sug1.png__gen2_sug5.png","tableau_6_s3_q2_gen1_sug1.png__gen2_sug5.png","tableau","6","3","2","Which metropolitan areas have the highest concentration of top-ranked companies?","charts/tableau/6/sum3_ques2","gen1_sug1.png","gen2_sug5.png"
"62","tableau_6_s1_q1_gen2_sug1.png__gen2_sug2.png","tableau_6_s1_q1_gen2_sug1.png__gen2_sug2.png","tableau","6","1","1","How does revenue growth rate vary across different rank ranges in the Inc. 5000 list?","charts/tableau/6/sum1_ques1","gen2_sug1.png","gen2_sug2.png"
"63","tableau_7_s1_q4_gen2_sug4.png__gen2_sug2.png","tableau_7_s1_q4_gen2_sug4.png__gen2_sug2.png","tableau","7","1","4","Which majors have the lowest starting salary but end up in the top 10 for mid-career salary?","charts/tableau/7/sum1_ques4","gen2_sug4.png","gen2_sug2.png"
"64","tableau_7_s3_q1_gen3_sug1.png__gen2_sug2.png","tableau_7_s3_q1_gen3_sug1.png__gen2_sug2.png","tableau","7","3","1","Which majors have the lowest starting salary but highest percent growth?","charts/tableau/7/sum3_ques1","gen3_sug1.png","gen2_sug2.png"
"65","tableau_8_s2_q4_gen2_sug2.png__gen2_sug4.png","tableau_8_s2_q4_gen2_sug2.png__gen2_sug4.png","tableau","8","2","4","How closely do audience scores align with critic scores across the top 5 most profitable films?","charts/tableau/8/sum2_ques4","gen2_sug2.png","gen2_sug4.png"
"66","tableau_8_s4_q4_gen1_sug4.png__gen1_sug1.png","tableau_8_s4_q4_gen1_sug4.png__gen1_sug1.png","tableau","8","4","4","Are there specific years where certain genres significantly outperform others in profitability?","charts/tableau/8/sum4_ques4","gen1_sug4.png","gen1_sug1.png"
"67","tableau_12_s1_q2_gen1_sug1.png__gen1_sug4.png","tableau_12_s1_q2_gen1_sug1.png__gen1_sug4.png","tableau","12","1","2","How has the tuberculosis incidence rate changed from 1990 to 2013 in India?","charts/tableau/12/sum1_ques2","gen1_sug1.png","gen1_sug4.png"
"68","tableau_3_s1_q1_gen1_sug3.png__gen1_sug1.png","tableau_3_s1_q1_gen1_sug3.png__gen1_sug1.png","tableau","3","1","1","Which five players have accumulated the most total weeks at world number one across their careers?","charts/tableau/3/sum1_ques1","gen1_sug3.png","gen1_sug1.png"
"69","tableau_3_s1_q5_gen1_sug4.png__gen1_sug1.png","tableau_3_s1_q5_gen1_sug4.png__gen1_sug1.png","tableau","3","1","5","Are there players who stand out as clear outliers in total weeks at number one compared with the rest of their gender?","charts/tableau/3/sum1_ques5","gen1_sug4.png","gen1_sug1.png"
"70","tableau_3_s1_q5_gen2_sug2.png__gen1_sug1.png","tableau_3_s1_q5_gen2_sug2.png__gen1_sug1.png","tableau","3","1","5","Are there players who stand out as clear outliers in total weeks at number one compared with the rest of their gender?","charts/tableau/3/sum1_ques5","gen2_sug2.png","gen1_sug1.png"
"71","tableau_3_s3_q7_gen1_sug1.png__gen1_sug2.png","tableau_3_s3_q7_gen1_sug1.png__gen1_sug2.png","tableau","3","3","7","How is total time spent at number one distributed among the top 10 players with the most recorded weeks?","charts/tableau/3/sum3_ques7","gen1_sug1.png","gen1_sug2.png"
"72","tableau_6_s1_q2_gen2_sug2.png__gen1_sug3.png","tableau_6_s1_q2_gen2_sug2.png__gen1_sug3.png","tableau","6","1","2","How does reported revenue differ between companies ranked in the top 500 and those ranked near the bottom of the list?","charts/tableau/6/sum1_ques2","gen2_sug2.png","gen1_sug3.png"
"73","tableau_6_s1_q4_gen1_sug1.png__gen1_sug2.png","tableau_6_s1_q4_gen1_sug1.png__gen1_sug2.png","tableau","6","1","4","What is the relationship between workforce size and total revenue for companies in the Software sector?","charts/tableau/6/sum1_ques4","gen1_sug1.png","gen1_sug2.png"
"74","tableau_6_s1_q8_gen2_sug3.png__gen1_sug1.png","tableau_6_s1_q8_gen2_sug3.png__gen1_sug1.png","tableau","6","1","8","How does workforce size tend to change as rank moves from the top 100 toward the bottom 5000?","charts/tableau/6/sum1_ques8","gen2_sug3.png","gen1_sug1.png"
"75","tableau_7_s1_q5_gen1_sug3.png__gen3_sug4.png","tableau_7_s1_q5_gen1_sug3.png__gen3_sug4.png","tableau","7","1","5","How do mid-career earnings compare between traditionally high-paying fields like engineering and lower-paying fields like art history or religion?","charts/tableau/7/sum1_ques5","gen1_sug3.png","gen3_sug4.png"
"76","tableau_7_s1_q7_gen1_sug4.png__gen1_sug1.png","tableau_7_s1_q7_gen1_sug4.png__gen1_sug1.png","tableau","7","1","7","What is the spread of percentage pay growth across all majors, from the lowest around 23% to the highest above 100%?","charts/tableau/7/sum1_ques7","gen1_sug4.png","gen1_sug1.png"
"77","tableau_8_s2_q3_gen2_sug2.png__gen1_sug4.png","tableau_8_s2_q3_gen2_sug2.png__gen1_sug4.png","tableau","8","2","3","What is the overall relationship between audience approval percentages and financial return across all films?","charts/tableau/8/sum2_ques3","gen2_sug2.png","gen1_sug4.png"
"78","tableau_8_s3_q5_gen2_sug3.png__gen2_sug4.png","tableau_8_s3_q5_gen2_sug3.png__gen2_sug4.png","tableau","8","3","5","How is total worldwide box office revenue divided among studios such as Paramount, Sony, and 20th Century Fox?","charts/tableau/8/sum3_ques5","gen2_sug3.png","gen2_sug4.png"
"79","tableau_8_s3_q5_gen2_sug3.png__gen1_sug1.png","tableau_8_s3_q5_gen2_sug3.png__gen1_sug1.png","tableau","8","3","5","How is total worldwide box office revenue divided among studios such as Paramount, Sony, and 20th Century Fox?","charts/tableau/8/sum3_ques5","gen2_sug3.png","gen1_sug1.png"
"80","tableau_8_s4_q5_gen1_sug1.png__gen1_sug3.png","tableau_8_s4_q5_gen1_sug1.png__gen1_sug3.png","tableau","8","4","5","Are there any genres that experienced a noticeable spike or drop in worldwide box office revenue in a single year?","charts/tableau/8/sum4_ques5","gen1_sug1.png","gen1_sug3.png"
"81","tableau_9_s2_q1_gen2_sug1.png__gen1_sug6.png","tableau_9_s2_q1_gen2_sug1.png__gen1_sug6.png","tableau","9","2","1","Which age groups show the highest death rates for males compared with females when looking across the full life course?","charts/tableau/9/sum2_ques1","gen2_sug1.png","gen1_sug6.png"
"82","c2_2_151_s3_q8_gen2_sug3.png__gen1_sug1.png","c2_2_151_s3_q8_gen2_sug3.png__gen1_sug1.png","c2_2","151","3","8","Do students who completed the test preparation course consistently outperform those with none across math, reading, and writing scores?","charts/c2_2/151/sum3_ques8","gen2_sug3.png","gen1_sug1.png"
"83","c2_2_151_s3_q8_gen1_sug6.png__gen1_sug1.png","c2_2_151_s3_q8_gen1_sug6.png__gen1_sug1.png","c2_2","151","3","8","Do students who completed the test preparation course consistently outperform those with none across math, reading, and writing scores?","charts/c2_2/151/sum3_ques8","gen1_sug6.png","gen1_sug1.png"
"84","c2_2_151_s2_q1_gen2_sug1.png__gen1_sug3.png","c2_2_151_s2_q1_gen2_sug1.png__gen1_sug3.png","c2_2","151","2","1","What is the proportional distribution of parental education levels among students receiving free/reduced lunch?","charts/c2_2/151/sum2_ques1","gen2_sug1.png","gen1_sug3.png"
"85","c2_2_151_s2_q8_gen1_sug1.png__gen1_sug2.png","c2_2_151_s2_q8_gen1_sug1.png__gen1_sug2.png","c2_2","151","2","8","Which parental education level has the most students on free/reduced lunch?","charts/c2_2/151/sum2_ques8","gen1_sug1.png","gen1_sug2.png"
"86","c2_2_139_s2_q1_gen1_sug1.png__gen1_sug2.png","c2_2_139_s2_q1_gen1_sug1.png__gen1_sug2.png","c2_2","139","2","1","Which countries experienced the highest annual inflation rates during years labeled as inflation crises?","charts/c2_2/139/sum2_ques1","gen1_sug1.png","gen1_sug2.png"
"87","c2_2_139_s1_q5_gen1_sug1.png__gen1_sug2.png","c2_2_139_s1_q5_gen1_sug1.png__gen1_sug2.png","c2_2","139","1","5","Which African countries experience the longest uninterrupted runs of years without any currency crises?","charts/c2_2/139/sum1_ques5","gen1_sug1.png","gen1_sug2.png"
"88","c2_2_139_s2_q5_gen1_sug2.png__gen2_sug2.png","c2_2_139_s2_q5_gen1_sug2.png__gen2_sug2.png","c2_2","139","2","5","Which countries experience the most years with currency crises compared to years without such events?","charts/c2_2/139/sum2_ques5","gen1_sug2.png","gen2_sug2.png"
"89","c2_2_139_s2_q5_gen1_sug2.png__gen2_sug1.png","c2_2_139_s2_q5_gen1_sug2.png__gen2_sug1.png","c2_2","139","2","5","Which countries experience the most years with currency crises compared to years without such events?","charts/c2_2/139/sum2_ques5","gen1_sug2.png","gen2_sug1.png"
"90","c2_2_139_s3_q4_gen1_sug2.png__gen1_sug1.png","c2_2_139_s3_q4_gen1_sug2.png__gen1_sug1.png","c2_2","139","3","4","Which countries experienced repeated debt default episodes over the longest spans of years since 1900?","charts/c2_2/139/sum3_ques4","gen1_sug2.png","gen1_sug1.png"
"91","c2_2_139_s1_q2_gen2_sug2.png__gen2_sug1.png","c2_2_139_s1_q2_gen2_sug2.png__gen2_sug1.png","c2_2","139","1","2","How has the annual occurrence of systemic financial crises changed across Africa from the 1960s through the 2000s?","charts/c2_2/139/sum1_ques2","gen2_sug2.png","gen2_sug1.png"
"92","c2_2_139_s1_q2_gen2_sug3.png__gen2_sug1.png","c2_2_139_s1_q2_gen2_sug3.png__gen2_sug1.png","c2_2","139","1","2","How has the annual occurrence of systemic financial crises changed across Africa from the 1960s through the 2000s?","charts/c2_2/139/sum1_ques2","gen2_sug3.png","gen2_sug1.png"
"93","c2_2_146_s2_q1_93","c2_2_146_s2_q1_93","c2_2","146","2","1","Which rival party pairs produce the smallest victory margins across constituencies, making those contests the most closely fought?","charts/c2_2/146/sum2_ques1","",""
"94","c2_2_146_s2_q7_94","c2_2_146_s2_q7_94","c2_2","146","2","7","Are contests between Bharatiya Janata Party and Indian National Congress generally more competitive than contests involving smaller parties based on margin size?","charts/c2_2/146/sum2_ques7","",""
